original, proofTree 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
16,15 
17,16 
18,17 
19,18 
20,19 
20,19 
20,19 
21,20 
21,20 
22,20 
22,22 
21,21 
20,20 
20,20 
17,17 
17,17 
9,9 
17,17 
18,18 
19,19 
20,20 
20,20 
21,21 
22,21 
23,22 
21,20 
20,19 
16,16 
12,12 
11,11 
11,11 
4,4 
4,4 
17,16 
18,17 
19,18 
20,19 
21,20 
22,21 
22,21 
22,21 
23,21 
23,21 
24,21 
24,23 
23,22 
20,19 
20,20 
17,17 
17,17 
9,9 
4,4 
1,1 
2,1 
3,3 
4,3 
2,1 
16,15 
17,16 
18,17 
19,18 
20,19 
20,19 
20,19 
21,20 
21,20 
22,20 
22,20 
21,21 
20,19 
20,20 
17,17 
17,17 
10,10 
4,4 
5,4 
2,1 
3,3 
1,1 
2,1 
8,7 
9,8 
9,8 
10,8 
10,8 
10,10 
1,1 
2,1 
5,5 
6,6 
6,6 
1,1 
2,1 
8,7 
9,8 
9,8 
10,8 
10,8 
10,10 
5,5 
6,6 
6,6 
1,1 
2,1 
9,9 
10,10 
10,10 
10,10 
10,10 
11,11 
8,8 
4,4 
1,1 
2,1 
1,1 
2,1 
17,15 
18,15 
19,15 
20,16 
20,16 
21,17 
22,18 
22,18 
22,18 
23,18 
23,18 
21,19 
19,17 
17,15 
16,14 
14,14 
13,13 
2,2 
1,1 
2,1 
2,2 
3,3 
4,3 
2,1 
3,3 
3,3 
1,1 
2,1 
3,3 
1,1 
2,1 
6,6 
7,7 
6,6 
2,2 
1,1 
2,1 
2,2 
15,15 
16,16 
16,16 
17,16 
18,18 
18,18 
18,18 
18,18 
18,18 
18,18 
18,18 
22,21 
23,22 
23,22 
24,23 
24,23 
25,23 
26,25 
26,25 
26,25 
26,25 
26,25 
26,25 
26,26 
26,26 
27,27 
25,25 
25,25 
15,15 
16,16 
17,17 
16,16 
14,14 
13,13 
13,13 
13,13 
13,13 
12,12 
2,2 
3,2 
2,1 
2,2 
18,18 
19,19 
20,20 
21,21 
20,20 
18,18 
18,18 
18,18 
17,17 
17,17 
18,17 
18,17 
17,16 
1,1 
2,1 
1,1 
2,1 
2,2 
3,2 
2,1 
14,14 
14,14 
14,14 
15,14 
16,16 
16,16 
16,16 
16,16 
16,16 
17,17 
7,7 
8,8 
9,9 
8,8 
6,6 
5,5 
2,2 
2,2 
13,12 
14,13 
15,14 
16,15 
16,15 
17,15 
17,15 
16,16 
14,14 
15,15 
15,15 
8,8 
13,13 
14,13 
15,13 
15,13 
16,14 
16,14 
17,15 
17,16 
16,15 
15,14 
12,11 
12,11 
12,12 
12,12 
